"Gene","adjpvals","comp","zvals"
"cps4A",0.5005291005291,"111 - 236",0
"cps4A",0.281409084411511,"116 - 236",0.886384390678648
"cps4A",0.0220632691340578,"13 - 236",2.63949849076613
"cps4A",0.000317162113348426,"147 - 236",4.17214926517571
"cps4A",0.126234856726052,"16 - 236",1.5599902713966
"cps4A",0.0145117924621112,"170 - 236",2.81295502977927
"cps4A",0.0244104113393696,"176 - 236",2.58080380613486
"cps4A",0.0526538972256803,"185 - 236",2.16788477073605
"cps4A",0.448598921606077,"2 - 236",-0.313385740213847
"cps4A",0.141107716232171,"23 - 236",1.46947364092049
"cps4A",0.218231100482073,"1 - 260",-1.12153107629825
"cps4A",0.48236886313115,"10 - 260",0.132775386047241
"cps4A",0.028505228550761,"104 - 260",-2.49501069034432
"cps4A",0.0286422729187935,"11 - 260",-2.49501069034432
"cps4A",0.0681010125646491,"111 - 260",-2.004049770445
"cps4A",0.218832980384562,"116 - 260",-1.11766537976636
"cps4A",0.500366731718528,"13 - 260",-0.0627616684409015
"cps4A",0.0829836485968089,"147 - 260",1.85807191630405
"cps4A",0.419380290559385,"16 - 260",-0.444059499048402
"cps4A",0.302264795992094,"170 - 260",0.808905259334265
"cps4A",0.4599981979687,"176 - 260",0.266726457263194
"cps4A",0.455046851708748,"185 - 260",-0.286564907629961
"cps4A",0.0395389770456636,"2 - 260",-2.31743551065885
"cps4A",0.219189832384097,"23 - 260",-1.11774348771428
"cps4A",0.0683192850408179,"236 - 260",-2.004049770445
"cps4A",0.188981565965745,"1 - 27",1.24006447185365
"cps4A",0.0106972790126011,"10 - 27",2.96924886538599
"cps4A",0.244821856985107,"104 - 27",-1.02825998673695
"cps4A",0.245239641723989,"11 - 27",-1.02825998673695
"cps4A",0.346682241713373,"111 - 27",-0.658637422002855
"cps4A",0.442213338779894,"116 - 27",0.364871111124744
"cps4A",0.0263883112489736,"13 - 27",2.53250064845185
"cps4A",0.000234249769199245,"147 - 27",4.30315561049957
"cps4A",0.211571177382511,"16 - 27",1.1426841842452
"cps4A",0.0241834067893097,"170 - 27",2.58948326531989
"cps4A",0.0368948892932155,"176 - 27",2.35416342092698
"cps4A",0.0831297751899159,"185 - 27",1.85852660325298
"cps4A",0.244852704953441,"2 - 27",-1.02050410494816
"cps4A",0.26184522319731,"23 - 27",0.959846163805593
